AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
0.2524427772,9.701101303,0.8470591903,-0.02626718581,-0.01450803876,-0.07696896046,0
0.06939185411,9.759127617,1.058824062,0.04245510325,-0.123394683,-0.05619955808,0
0.166301176,9.834501266,0.9403793216,-0.05115992576,-0.1455385387,-0.08246674389,0
0.1884347796,9.717850685,1.475773335,-0.002443459118,-0.1539379209,-0.1221729591,0
-0.1028913707,9.639486313,1.324427366,0.007941242307,-0.1357647032,-0.1094975099,0
-0.06879365444,9.708877563,1.077368379,-0.01939495653,-0.1632536054,-0.1435532272,0
-0.3744767308,9.513264656,1.334596872,-0.04138609022,-0.1014035568,-0.07757982612,0
-0.204586342,9.678967476,1.367498159,-0.02916879393,-0.05925388262,-0.1212566569,0
-0.584446907,9.66580677,1.133001566,-0.05299251899,-0.05314523727,-0.1299614757,0
-0.4199403822,9.501898766,1.580459356,0.005192350596,-0.0601701811,-0.1243109852,0
-0.8739784956,9.478569031,1.178465128,-0.01557705179,-0.0971274972,-0.0621554926,0
-0.4199403822,9.626923561,1.555932879,0.06185005978,-0.1357647032,-0.03084867075,0
-0.4307080805,9.610772133,1.381256819,0.1035415828,-0.08429934084,0.003970621154,0
-0.3355933726,9.709476471,1.015154958,0.01328630932,-0.01252272818,-0.02519817278,0
-0.3882354796,9.633503914,1.164108157,-0.08781181276,0.1056796089,-0.05879573524,0
-0.6083751321,9.653842926,1.242473125,-0.0418442376,-0.03726275265,-0.07864884287,0
-0.8991031051,9.458230019,2.002194405,-0.06994401664,0.2562577724,-0.0100792693,0
-0.7621139884,9.832706451,1.70548439,0.1007926911,0.0294742249,-0.1188132018,0
-0.5730810165,9.587442398,1.401595831,0.09117157012,-0.08277218044,-0.2890917659,0
-1.339382529,9.629914284,1.755135417,0.1908952445,0.08246674389,-0.1530216336,0
-0.4223332107,9.649655342,0.6975077987,0.1437059343,-0.04550942779,-0.1999054998,0
-1.097707391,9.951150894,0.1417747438,-0.02748891525,-0.1872300506,-0.1447749585,0
-1.570888042,9.718449593,0.6951149702,-0.1285870373,-0.05558869615,0.03069595434,0
-2.005783558,9.458230019,1.51106751,0.03298669681,-0.005497782957,0.2979492843,0
-1.987837434,9.591031075,0.8919246197,-0.1012508348,-0.0983492285,0.4743365049,0
-1.645065546,9.414560318,2.202593327,0.1669187993,0.003207040019,0.4584540129,0
-2.968296528,10.06959629,1.910070658,0.4961749315,0.1459966749,0.7284562588,0
-3.008974552,10.31785107,0.8153542876,0.220064044,0.343306005,1.098640323,0
-3.391227961,9.572486877,2.88454771,0.7168498039,0.6123919487,1.342986226,3
-4.225126743,8.232506752,0.8249256015,0.7649554014,0.5816959739,1.773187757,3
-3.766901016,7.152146816,1.965703845,0.7177661061,1.081077933,2.022267818,3
-2.961117983,5.729613781,1.518245935,0.8988875151,1.148578525,2.384052515,3
-0.08733802289,4.800002098,2.238485575,0.7930551767,1.573129535,2.631758213,3
1.919641972,3.668795347,1.933998942,1.052520037,1.296255112,2.741713762,3
4.057030678,3.002992392,2.158325911,1.045342326,1.404989004,2.514624834,3
4.728815556,1.929213285,3.718446493,1.200960159,1.511890292,2.452927589,3
5.828317642,1.231107235,2.598007202,1.131168842,1.439808249,2.044564486,3
4.966303349,-1.028315544,2.403590441,0.7594576478,1.771660566,2.022420645,3
4.51346159,-3.693321705,2.331805706,0.451123625,1.087491989,2.258672476,3
9.031708717,-5.623133183,4.444069862,0.1363755614,1.586263061,2.702771187,3
17.89472389,-3.955335855,3.954737663,0.1685986817,0.6933315396,2.20583272,3
22.28196526,-1.133599758,6.9649086,0.5030471683,1.43049264,1.151174664,3
18.88953972,0.6352944374,3.099303484,0.9555452466,0.3510945439,0.2383899838,3
15.06341648,0.9433703423,2.340180635,0.7918334603,0.4807505906,-0.06795870513,3
14.03091335,1.110269666,2.279761791,0.5664243698,0.3872882724,-0.3149007857,3
12.36850071,1.21854496,3.141776085,0.5873464942,0.2066250145,-0.1977674663,3
12.84945774,1.65463686,2.159522533,0.3142899275,0.2273944169,-0.2568686306,3
11.13858986,1.689332843,3.037688255,0.2730565667,0.1166751757,-0.05131264031,3
10.89093208,2.066800594,2.435893536,0.2863428593,0.02076940238,-0.04718930274,0
9.412766457,1.369890928,2.650051117,0.07467821985,0.05192350596,0.185092032,0
9.952347755,1.774876237,3.427120209,0.3830122054,0.1745546162,0.2918406427,0
9.836296082,2.433500528,1.938784599,0.2096793354,0.138819024,0.06322450191,0
8.865407944,1.970489502,2.679961443,0.006872228812,0.1249218509,-0.05085449293,0
8.421539307,1.849651933,3.934398651,0.01053741761,0.2306014597,0.06276635826,0
8.96889782,2.47358036,3.209971666,-0.07819069177,0.009621120058,0.1017089859,0
9.672985077,2.927618504,4.235296249,-0.021685699,0.06673697382,-0.03390299529,0
9.136993408,2.66739893,3.250649452,-0.1403461844,0.0542142503,-0.1950185746,0
8.544769287,2.184647083,3.507878065,-0.1362228394,-0.004886918236,-0.242818743,0
8.003393173,1.86580348,3.608974695,-0.08811724186,0.06154462695,-0.1521053314,0
8.452047348,2.255235434,3.196212769,-0.08826996386,-0.06352993846,-0.1414151937,0
8.294719696,2.068595171,3.833301783,-0.07147117704,-0.02183841541,-0.121714808,0
8.340183258,2.106880426,3.941577196,-0.07131846249,0.03543015569,-0.08093958348,0
8.679964066,2.283350945,4.100101471,-0.004123337101,0.1517999023,-0.03161225095,0
8.928817749,2.301297188,3.90568471,0.01527161989,0.431881398,-0.01023198478,0
8.739784241,2.146361828,3.869194269,0.1250745654,0.3605629504,0.04306596518,0
8.715856552,2.261217356,3.889533281,0.06185005978,0.3579667509,0.04199695215,0
