AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
-0.4546363056,9.590433121,0.1339980662,0.1884517819,0.01466075517,0.0728456229,0
-0.4307080805,9.399007797,-0.2679961324,0.2122755051,-0.03008509055,0.07208204269,0
-0.2584248483,9.805787086,-0.5838487148,0.1936441362,0.03313941509,0.06398808211,0
-0.2632105052,9.614361763,0.2967100143,0.09636391699,-0.1276707351,-0.001985310577,0
-0.1866401732,9.700503349,0.2344966233,0.1785252392,-0.1111773923,-0.01053741761,0
-0.3637090325,9.619147301,0.5024927258,0.1531743407,-0.2837466896,-0.06383536756,0
-0.2249253243,9.480362892,0.7896314859,0.09636391699,-0.2426660359,-0.07208204269,0
-0.2584248483,9.767501831,0.6412764788,0.127365306,-0.2206749022,-0.0725401938,0
-0.8709874153,9.528220177,0.3732803464,0.123547405,-0.07757982612,-0.04428769648,0
-0.7417750359,9.628718376,-0.08135596663,0.3611738086,-0.2011272311,0.1041524485,0
-0.7800601721,9.657432556,0.3493520916,0.3895790279,-0.1785252392,0.1444695145,0
-0.4354937077,10.02592659,-0.6077769399,0.5247328281,-0.1826485693,0.1675296724,0
-1.100698471,9.647860527,0.5120640397,0.3985892832,-0.2286161482,0.1557705253,0
-1.296909928,9.762716293,0.5455635786,0.62522012,-0.335364759,0.2548833191,0
-0.9858429432,9.829715729,1.076770186,0.8501710296,-0.3420842886,0.293215096,0
-0.6364908218,8.829515457,1.923829436,1.026405573,0.03527744114,0.3107774556,0
-1.45483613,7.312466145,0.756131947,1.59145546,0.002443459118,0.24709481,2
-1.210768223,5.97727108,-0.6173482537,1.82205689,0.1997527778,0.261908263,2
-0.2967100143,5.053641319,0.3206382394,1.999818563,0.3828594983,0.2809978127,2
0.3445664644,4.981856823,-1.392622828,2.232405424,0.6507236958,0.2484692484,2
1.55054903,4.541577339,-1.387837172,2.018144608,1.259297729,0.01481347065,2
1.718046665,3.383451223,-3.488735437,2.08976841,1.466380954,-0.2400698513,2
5.704489231,2.62253356,-1.732403636,1.968206286,1.232419729,-0.1140789986,2
6.575476646,1.115055323,-2.995813847,1.852294683,1.777005672,-0.2064722925,2
9.738788605,1.478764415,-6.360122681,2.123976946,1.362992048,-0.04489856213,2
9.408578873,0.784845829,-10.30349445,1.96026504,1.264031887,-0.1773035079,2
9.049654961,1.21555388,-13.59601784,1.401781917,1.319162488,-0.3127627671,2
9.810572624,1.832902193,-16.17069626,0.6000219584,1.507156134,-0.3900371492,2
9.255437851,1.560120344,-15.81655788,-0.005345067009,1.031597853,-0.4605920315,2
7.613961697,1.507478237,-13.23709488,-0.5499309897,0.6566796303,-0.4260781705,2
6.905686378,0.7992027402,-7.805387497,-0.1901316643,0.06078104675,-0.4004218578,2
6.527620316,1.689332843,-10.94477081,-0.09819651395,0.5882627964,-0.3656025827,2
8.035098076,2.029113531,-12.1794672,0.2280052751,-0.2499964088,-0.1646280587,2
7.01575613,0.5359922647,-10.45184898,-0.2634354234,0.4367683232,-0.2208276242,2
6.776473522,2.100898266,-9.734002113,-0.2144135386,-0.4876227975,-0.1058323234,2
5.039284706,2.297109842,-8.18345356,-0.5845975876,0.06551524997,0.02626718581,2
7.216753006,4.010370731,-4.761716843,-0.6424770355,-0.01099556591,0.3269653618,0
5.398207664,4.211368084,-4.417150497,-0.5035052896,0.324216485,0.3872882724,0
6.642475605,4.646861553,-5.422136307,-0.2857320011,0.1753181964,0.2725984156,0
7.149754047,5.010570526,-5.340780258,-0.40133816,0.5372555852,0.1768453568,0
6.522834301,4.130012035,-7.652246952,-0.2186895907,0.4005745649,-0.02825249545,0
8.039883614,4.369294167,-7.235895634,-0.49418962,0.9074396491,-0.002443459118,0
6.68076086,4.125226021,-10.5858469,-0.3265072107,0.1841757298,-0.2648098767,0
