AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
2.359323025,11.82532978,-0.1196411327,-0.2528980076,-0.001985310577,0.09254601598,0
2.531606436,10.26999474,0.5551348329,-0.1763872057,-0.2571740746,-0.04321868345,0
1.679761529,8.906085968,0.3062812984,-0.08979712427,-0.1724165827,-0.1320995092,0
0.1674975902,8.729017258,0.2727817893,-0.01206457894,-0.3017672002,-0.06414080411,0
0.3302095234,8.819944382,-0.4929214716,0.05406153202,-0.4813614488,0.05314523727,0
0.9810572863,8.528019905,-0.7369893789,0.1299614757,-0.3349066079,0.03008509055,0
0.6317051649,8.566305161,-1.1820544,0.1058323234,-0.06887500733,-0.06994401664,0
0.7274180651,9.131011009,-0.6556333899,0.1408043355,-0.09819651395,-0.05482511222,0
0.5599204898,9.446864128,-1.665404558,0.2296851575,-0.0268780496,-0.07086031139,0
1.110269666,10.23170948,-1.603191137,0.2225074917,-0.01114828233,-0.1183550507,0
0.7657032609,10.63848972,-1.741974831,0.1214093715,0.01420260593,-0.2194531709,0
-0.6221339107,10.97348499,-0.94277215,-0.008704823442,0.2061668634,-0.2061668634,0
0.626919508,11.18883896,-1.186840057,0.2724456787,-0.02748891525,-0.09743293375,0
-1.009771109,9.939785004,-0.009571290575,-0.1646280587,0.3848448098,-0.2235765159,0
-1.378265858,8.87258625,0.8087740541,0.04718930274,0.2379318327,-0.0497854799,0
-0.8470591903,8.891729355,0.01914258115,0.2110537887,0.2050978541,0.02565632015,0
-0.1100698411,9.552147865,-0.6604190469,0.1143844277,0.1991419196,0.131335929,0
0.2201396823,9.288937569,-1.689332843,-0.1163697392,0.1942549944,0.02764163166,0
-0.626919508,8.288737297,-0.01914258115,-0.3426951468,0.1676823795,0.05451968312,0
0.1722832322,9.135796547,-1.095912814,0.1438586563,-0.1528689116,0.215940699,0
-0.1866401732,9.145368576,-0.9236295223,0.115606159,-0.1175914705,0.1740964651,0
0.1627119333,9.978070259,-2.172683001,0.2252563834,-0.1572976857,0.06918043643,0
-0.4546363056,10.07856941,-0.626919508,-0.01878409274,-0.1308777779,-0.09193515033,0
-0.2919243574,10.86341476,-1.713261008,0.1401934624,-0.1180496216,-0.05329795182,0
-0.4546363056,10.87777138,-1.35912323,-0.009315688163,0.01237001177,-0.05619955808,0
0.5072783828,10.89212894,-0.6317051649,0.150425449,-0.05207622424,0.131335929,0
1.579262972,10.49491978,-1.8855443,0.2066250145,-0.1238528341,0.1070540547,0
0.6843472719,9.399007797,0.1292124242,-0.1269071549,0.03558287397,-0.0268780496,0
1.469193101,9.341579437,-0.9284151793,0.04459312931,-0.1624900252,0.02397644334,0
0.6987041831,8.733802795,-0.4019941986,-0.1453858167,-0.06963858753,-0.02611446939,0
0.9619147182,9.456435204,-1.59840548,-0.02382372692,-0.1760817766,0.02550360374,0
0.5551348329,9.408578873,0.0239282269,-0.2280052751,-0.08017600328,-0.0557414107,0
0.626919508,9.461220741,-1.081555843,-0.001221729559,-0.1145371497,-0.127518028,0
-0.04307080805,9.370293617,-0.1339980662,-0.05131264031,0.04459312931,-0.1418733448,0
0.1004985496,9.891928673,-1.172483087,0.1797469556,0.1163697392,-0.04444041103,0
0.07178468257,9.844072342,-0.1579262912,0.2322813272,0.04841103405,0.01466075517,0
-0.3876372576,10.44227791,-1.13419795,0.4262309074,0.1858556122,0.135001123,0
-1.426122308,10.83948612,0.004785645287,0.7371610999,0.009621120058,0.2489273995,0
-2.416750908,12.57667542,-0.6652047038,1.02243495,0.003970621154,0.4132500291,2
-2.321038008,12.67238903,5.527420521,1.467449903,0.1406516135,0.5971203446,2
-2.368894339,12.11725426,7.896314621,2.267835379,-0.07238747925,0.4790706933,2
-6.80997324,5.111069202,9.911071777,3.293172121,0.2235765159,0.2593120933,2
-5.264209747,-1.703689694,9.901499748,4.082867622,0.9408844709,0.6918043494,2
1.890329838,-4.766502857,3.345165968,4.099513531,1.99019742,1.002429128,2
8.293522835,-4.110869408,-3.268595695,4.15678215,1.626274705,0.8132137656,2
12.79681587,-0.4354937077,-8.566305161,3.347844362,0.921794951,0.2099847645,2
10.49970531,-0.2153540403,-10.164711,1.258992314,1.155603409,-0.7976366878,2
8.681160927,-1.287338614,-13.76351547,0.809853971,-0.2073885947,-1.219133377,2
9.269794464,-1.627119422,-9.762716293,-0.9344704151,0.8483384848,-1.232114315,2
8.949156761,-0.1196411327,-14.50050545,-0.9262236953,1.116202712,-1.140789986,2
7.456035137,1.938186288,-16.53440475,-0.8199332356,0.9166026115,-0.7521272302,2
9.370293617,4.010370731,-13.96929836,-1.128419995,0.8736893535,-0.4876227975,2
9.379864693,5.982056618,-10.22692394,-1.029307127,0.4053087831,-0.4784598351,2
