AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
1.316052437,9.437292099,0.5455635786,-0.08338304609,-0.6922625303,-0.1047633067,0
1.976471543,9.834501266,0.3445664644,-0.2255618125,-0.6424770355,-0.1334739476,0
1.512263894,9.647860527,0.4498506486,-0.1945604384,-0.6604975462,-0.1414151937,0
1.847259045,9.968499184,0.8470591903,-0.1783725172,-0.6345357895,-0.1084285006,0
1.40697968,10.30349445,0.2344966233,-0.1369864196,-0.4289797843,-0.1249218509,0
1.330409408,10.54277611,-0.1100698411,-0.1171333194,-0.4335612655,-0.1108719558,0
2.033899307,10.34177971,0.1866401732,-0.154396072,-0.3103193045,-0.1479819864,0
1.957328916,9.906285286,0.1052841991,-0.01847865991,-0.4634936452,-0.1133154184,0
2.009970903,9.671789169,-0.1770688742,0.04550942779,-0.4963276386,-0.1417206228,0
1.253839016,9.379864693,-0.4067798555,-0.06582067907,-0.2327394783,-0.1458439678,0
0.6699903607,9.332008362,-0.3493520916,0.03970621154,-0.2399171442,-0.1055268943,0
1.177268744,9.327222824,-0.5168496966,-0.03222311661,-0.1644753367,-0.1345429718,0
0.6891329288,9.652647018,0.009571290575,-0.1244636998,-0.1811214089,-0.04612028971,0
1.718046665,9.432506561,0.2775674164,0.1189659163,-0.1925751269,-0.1165224537,0
1.512263894,9.422935486,0.2153540403,0.127518028,0.04688387364,-0.0737619251,0
1.660618901,9.370293617,-0.4115654826,0.2606865466,-0.3875937164,-0.09086613357,0
1.067198873,9.590433121,0.05264209956,0.1463021189,-0.1017089859,-0.0975856483,0
1.35912323,9.934999466,-0.3302095234,0.3365865052,-0.2713766694,-0.1006399691,0
1.665404558,10.17906761,-0.5503492355,0.1933387071,-0.05100720748,-0.1490510106,0
1.249053478,10.21256733,-0.3924229145,0.270154953,-0.02321286127,-0.177608937,0
0.9140582681,10.14078236,-1.866401672,0.2506072819,-0.02993237413,-0.2302960157,0
0.4259224236,9.920642853,0.1004985496,0.03894263133,0.06719512492,-0.2041815519,0
0.5982056856,9.667003632,0.2584248483,0.3057378232,-0.1110246703,-0.1963930279,0
0.2057827413,9.489934921,-0.3014956415,0.2252563834,-0.1070540547,-0.2015853822,0
-0.0239282269,9.399007797,0.5599204898,0.06902772188,-0.01710421406,-0.1594357044,0
-0.6747759581,9.422935486,0.5168496966,-0.1014035568,0.1182023361,-0.158366695,0
-0.8087740541,9.470791817,1.363908887,-0.04062250629,0.0009162971983,-0.03863719851,0
-0.2440679073,9.647860527,0.4019941986,0.08582650125,-0.01664606482,-0.0003054323897,0
0.004785645287,9.494720459,1.579262972,-0.02550360374,0.06902772188,-0.0016798781,0
-0.2249253243,9.590433121,-0.09571290761,0.1165224537,-0.142636925,-0.09590577334,0
-0.4163511395,9.619147301,0.4977070987,-0.142636925,-0.01099556591,-0.1627954692,0
-0.4785645306,9.600004196,1.234696507,-0.1782197952,-0.1221729591,-0.1528689116,0
-0.4450650215,9.992427826,0.8470591903,-0.1333212405,-0.1536324918,-0.113773562,0
-0.2775674164,9.987641335,1.995614052,-0.1365282834,-0.04352411628,-0.07757982612,0
-0.3062812984,10.29392338,1.411765337,-0.03817904741,-0.1449276656,-0.05283980444,0
0.05264209956,10.39920712,1.904686809,-0.05253437161,-0.1837175786,-0.0485637486,0
-0.6412764788,10.12164021,1.473978758,0.06673697382,-0.16584979,-0.06566796452,0
