AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
-0.5694918036,10.03071213,1.627119422,-0.06337722391,0.1980729103,0.2533561587,0
-0.0239282269,10.96869946,1.526620865,0.08872810751,-0.2055560052,0.1403461844,0
0.2679961324,10.56670475,1.21555388,0.1206457913,-0.5018253922,0.05528326333,0
1.201196909,10.66241741,1.785045743,0.05971203372,-0.5123628378,0.1418733448,0
0.5072783828,9.915857315,2.440679073,0.09865466505,-0.1079703495,0.1417206228,0
1.512263894,9.686145782,2.579462767,0.01817322709,0.3943132162,0.1430950761,0
1.703689694,8.824729919,3.584448338,0.01695149764,0.2643517256,0.04673115537,0
3.335594654,7.767102242,2.445464849,0.07941242307,-0.1710421443,-0.07070759684,0
0.2584248483,9.116654396,2.009970903,-0.1320995092,-0.1589775532,-0.2296851575,0
0.9284151793,9.403793335,2.885744095,-0.2771798968,-0.1992946416,-0.007941242307,0
0.2679961324,8.839086533,2.617748022,-0.1134681329,-0.1919642538,-0.01710421406,0
0.4498506486,8.513663292,2.321038008,0.08445205539,0.1191186309,-0.1327103674,0
0.7800601721,8.968298912,2.675175667,0.07559451461,0.2477056682,-0.03558287397,0
1.143769264,8.84387207,1.799402595,0.3411679864,0.591011703,0.05070177838,0
1.196411371,9.489934921,1.095912814,0.3213148713,0.7336485982,0.1296560466,0
1.823330879,10.15992451,0.732203722,0.1566868126,0.2956585586,0.2296851575,0
1.1820544,10.68634605,1.464407444,-0.1030834317,0.1779143661,0.1528689116,0
0.9188438654,10.81555843,1.35912323,0.1107192412,0.073303774,0.1075121984,0
0.9714859724,10.48056316,1.024128079,0.4132500291,0.08704823256,0.1249218509,0
2.091326952,10.54277611,0.3732803464,0.3639226854,0.2125809491,0.06475166976,0
0.9044869542,9.446864128,1.445264935,-0.02718348242,0.1730274558,-0.1837175786,0
0.3062812984,9.116654396,2.565105915,-0.2054032832,0.3145953715,-0.2115119249,0
-1.009771109,8.422736168,1.665404558,0.01588248461,0.134848401,-0.2338084877,0
-0.5982056856,8.642875671,2.330609322,0.04642572254,-0.07544180006,-0.07742711157,0
-0.5742774606,9.509077072,0.8614161611,-0.08368847519,0.111635536,0.02718348242,0
0.1627119333,9.00179863,3.302095175,-0.3747655451,-0.117744185,-0.03466657549,0
-1.229910851,8.250452042,2.660818815,-0.1524107605,-0.05436696485,-0.09865466505,0
-1.009771109,8.312665939,2.713460922,-0.1004872546,0.2773326039,0.2202167511,0
0.2775674164,9.269794464,1.804188251,0.002443459118,0.2168570012,0.335364759,0
-0.06699903309,9.355937004,1.564906001,-0.005345067009,0.02489273995,0.219911322,0
0.4067798555,9.781859398,2.230110645,0.06200277433,-0.08445205539,0.2365573794,0
0.3828516304,10.12164021,1.497906923,0.08872810751,0.001985310577,0.1517999023,0
0.1722832322,10.54277611,1.584048629,0.04245510325,0.004276053514,0.1337793916,0
1.067198873,10.84905815,1.363908887,0.3078758419,-0.2370155305,0.1296560466,0
1.0863415,10.12642574,1.16769743,0.2663370371,-0.07971785218,0.2156352699,0
0.07178468257,8.776873589,1.952543259,-0.08536835015,0.1482874304,0.2422078848,0
1.966900229,8.551948547,2.770888567,-0.08200860023,0.1510363221,0.5995637774,0
1.593619823,7.905886173,2.072184324,-0.07223475724,0.3491092324,0.5629118681,0
3.656233072,9.595218658,3.512663603,-0.2435823381,0.5677987933,0.1395826042,4
5.044070244,11.22233772,3.531806231,-0.1621845961,1.167057157,-0.8110756874,4
11.71525955,11.38504982,5.9485569,0.262519151,0.9766200781,-1.96026504,4
7.51346302,5.326423168,3.402593851,0.1750127524,1.557552457,-3.791485071,4
3.579662561,2.048256159,2.201396942,0.4277580678,0.8507819176,-4.164875984,4
-2.483749866,0.09092725813,4.92442894,0.4627300799,0.3510945439,-3.730398417,4
-4.220939159,2.364108801,1.914258122,0.8439096808,-0.09437860548,-2.672533512,4
-2.306680918,4.163511276,2.048256159,1.283885002,-1.071304083,-1.9112432,4
-4.843072891,2.651247501,7.944170952,1.675143957,-1.961944938,-1.756694436,4
-4.053441525,2.555534601,1.497906923,2.491870165,-2.465297461,-1.720347881,4
-7.546962738,-0.009571290575,6.723831654,2.165668249,-2.912145138,-2.032652617,4
-12.51924801,-0.1004985496,4.340580463,1.71729362,-2.490953922,-1.794109821,4
-13.34237862,1.143769264,6.020341873,1.374445796,-2.240957499,-1.297324061,4
-14.84028625,1.239482164,5.412564754,0.9888373613,-1.496313334,-1.05496347,4
-14.83550072,1.875972986,3.574877024,0.7747292519,-1.088408351,-0.4721984863,4
-13.0887394,3.689732552,5.264209747,0.582459569,-1.044120669,0.02779434808,4
-11.78225899,3.172882795,7.274180889,0.2715294063,-0.6649262905,-0.04734202102,4
-10.91605663,3.694518089,5.723631859,0.3940077722,-0.709672153,0.001069013379,4
-9.767501831,4.331008911,7.077969551,0.006414080039,-0.682030499,0.119576782,4
-9.509077072,4.350151539,5.910272121,0.01374445762,-0.5590940118,0.2211330533,4
-8.413164139,5.422136307,7.111468792,-0.2477056682,-0.2136499584,0.004734201822,0
-7.881958008,5.120640278,7.087540627,-0.003817904973,-0.1910479665,-0.06108647957,0
-7.944170952,4.302295208,5.828916073,0.03878991306,-0.04703658819,0.1255327165,0
-7.121040344,4.388436794,4.369294167,0.1171333194,0.02489273995,0.2898553312,0
-6.790830612,4.455435753,5.455635548,0.1685986817,-0.1476765573,0.3382663727,0
-6.326622963,5.182853699,4.857429981,0.04596757516,0.111635536,0.208304897,0
-6.742974281,5.111069202,4.823930264,0.06062832847,0.08460476995,0.07849612087,0
-6.355337143,4.93878603,4.756931305,-0.03543015569,0.1507308781,0.03237583488,0
-6.848258495,5.331208706,5.446064472,0.00351247238,0.1962403059,-0.01130099874,0
