AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
-0.1722832322,12.19861031,0.8231309652,-0.04581485689,0.666911602,0.09590577334,0
0.3924229145,12.078969,2.249253273,0.02703076601,0.2620609999,0.09590577334,0
1.143769264,11.12662506,0.9475577474,0.3552178741,-0.1241582632,0.2524398565,0
3.239881754,10.10728264,0.8614161611,0.3187187016,-0.5145008564,0.3738492429,0
3.058027267,8.87258625,1.469193101,-0.1539379209,-0.505948782,0.07299833745,0
1.895115495,7.99202776,2.359323025,-0.4686860144,-0.5035052896,-0.227852568,0
1.694118381,8.126026154,2.876172781,-0.4871646762,-0.6493492723,-0.3520108163,0
0.6747759581,8.394021988,2.871387243,-0.4550942481,-0.382095933,-0.5108356476,0
-0.3445664644,7.877171993,1.904686809,-0.1408043355,-0.3144426346,-0.5030471683,0
-0.1004985496,8.164310455,1.301695466,-0.111635536,-0.2893971801,-0.4272999167,0
-0.3014956415,8.810373306,1.942971945,-0.2724456787,-0.03375028074,-0.3698786199,0
-0.7465606928,9.44207859,1.856830359,-0.06429351866,-0.1818849891,-0.2846629918,0
-0.01914258115,10.53320503,2.617748022,-0.04673115537,-0.07009673119,-0.2386954129,0
-0.5024927258,10.95912743,2.641676188,0.2130390853,0.04505127668,-0.2325867712,0
-1.100698471,11.65783215,2.919243574,0.339029938,0.2124282271,-0.1595884264,0
-1.765903115,11.14576817,3.263810158,0.204639703,0.4587594569,-0.1719584316,0
-1.220339537,10.82512951,3.129812002,0.2014326602,0.3628536761,-0.185092032,0
-2.091326952,8.322237015,3.129812002,-0.09514218569,0.3026835024,-0.1079703495,0
-0.3445664644,7.910671711,3.804588079,0.06001746282,0.09040798992,0.1898262352,0
-0.5982056856,7.6426754,1.483550072,0.02107483521,0.1798996776,0.0978910774,0
-0.4163511395,7.685746193,2.402393818,-0.1931859851,0.188909933,0.1716530025,0
-0.784845829,8.102097511,0.6699903607,0.08735366166,-0.1185077652,0.278096199,0
0.07178468257,8.475378036,2.368894339,-0.1447749585,0.004886918236,0.3454440236,0
-0.2536391914,9.370293617,0.8805587292,0.1411097646,-0.09666935354,0.2357937992,0
-0.8279166222,10.1024971,2.20618248,0.1073594838,-0.04520399496,0.1288924664,0
0.01914258115,11.36112213,1.26341033,0.4242455959,-0.2640463114,0.1501200199,0
0.3158525825,11.94497108,2.129612207,0.2838993967,-0.1643226296,0.04306596518,0
0.3349951804,11.77268696,1.804188251,0.2939786613,-0.1473711282,-0.01450803876,0
1.497906923,10.31785107,1.517049551,0.3040579557,-0.2941313982,0.05207622424,0
1.828116536,9.963713646,1.966900229,0.06536252797,-0.3688096106,-0.02458730713,0
1.45483613,8.84387207,2.378465652,-0.03405570984,-0.4208858311,-0.1996000707,0
1.095912814,8.188239098,1.746760488,-0.006566796452,-0.4688387215,-0.2652680278,0
0.2392822653,8.087740898,1.249053478,-0.04886918142,-0.424398303,-0.2863428593,0
0.5024927258,8.556734085,0.5120640397,0.07757982612,-0.5265654325,-0.258548528,0
-0.3254238665,8.322237015,0.5120640397,-0.1064431891,-0.4059196413,-0.2981020212,0
-0.2009970993,9.250652313,0.6987041831,-0.02871064469,-0.4166097939,-0.1941022873,0
0.03349951655,10.2221384,1.014556766,0.03115410358,-0.3908007443,-0.1476765573,0
-0.1579262912,10.43270683,0.8566305041,0.1336266696,-0.2370155305,-0.2301433086,0
-0.3110669553,10.55234814,1.000199914,0.1976147592,-0.215787977,-0.2632827163,0
-1.043270707,11.13619614,0.5934200287,0.2197586,-0.105985038,-0.2330449075,0
